NAME,STREET,NUMBER,FREEPOST_NUMBER,ZIPCODE,CITY,AGE,MAIL
Janice Henderson,Badeau,41,1,11102,Monte Plata,86.212.116.29,jhenderson0@pagesperso-orange.fr
Benjamin Stephens,Ilene,02407,5,,Xiaozhi,207.206.33.22,bstephens1@yahoo.com
Melissa Robertson,Barnett,48,066,,Karanglo,63.228.233.17,mrobertson2@discuz.net
Eugene Mills,Summerview,8163,611,83320-000,Pinhais,137.206.8.93,emills3@technorati.com
Lois Tucker,Butterfield,59,86131,,Jingxin,31.109.88.233,ltucker4@tamu.edu
Jonathan Moreno,Atwood,6689,70,,Tembladera,67.202.38.197,jmoreno5@webmd.com
Gloria Taylor,Wayridge,7214,950,,Pingyang,39.207.91.122,gtaylor6@chicagotribune.com
Nancy Lawrence,Shopko,049,14261,141 21,Huddinge,249.96.36.50,nlawrence7@harvard.edu
Harry Crawford,Sage,906,05,4830-411,Lamas,203.129.199.74,hcrawford8@tumblr.com
Irene Patterson,Holy Cross,3141,85,,Thá»‹ Tráº¥n TÃ  LÃ¹ng,63.45.214.165,ipatterson9@list-manage.com
